spcode,sciname,status,listyear
G03B,Pyrgulopsis (=Marstonia) pachyta,Endangered,2000
I0PT,Batrisodes venyivi,Endangered,2000
I0IS,Icaricia icarioides fenderi,Endangered,2000
I0AL,Manduca blackburni,Endangered,2000
I0RF,Rhadine exilis,Endangered,2000
I0P1,Rhadine infernalis,Endangered,2000
J000,Adelocosa anops,Endangered,2000
J01A,Cicurina baronia,Endangered,2000
J019,Cicurina madla,Endangered,2000
J01D,Cicurina venii,Endangered,2000
J01B,Cicurina vespera,Endangered,2000
J018,Neoleptoneta microps,Endangered,2000
J016,Texella cokendolpheri,Endangered,2000
K022,Spelaeorchestia koloana,Endangered,2000
Q0ET,Chlorogalum purpureum,Threatened,2000
Q0FE,Cirsium loncholepis,Endangered,2000
Q340,Deinandra increscens ssp. villosa,Endangered,2000
Q0LZ,Delphinium bakeri,Endangered,2000
Q0M2,Delphinium luteum,Endangered,2000
Q2TF,Erigeron decumbens,Endangered,2000
Q0QR,Eriodictyon capitatum,Endangered,2000
Q0VV,Gaura neomexicana var. coloradensis,Threatened,2000
Q0ZL,Holocarpha macradenia,Threatened,2000
Q161,Lupinus nipomensis,Endangered,2000
Q35E,Lupinus sulphureus ssp. kincaidii,Threatened,2000
Q1GG,Phlox hirsuta,Endangered,2000
Q1HU,Plagiobothrys hirtus,Endangered,2000
Q1OS,Sidalcea keckii,Endangered,2000
Q2KF,Thlaspi californicum,Endangered,2000
B0AL,Chasiempis ibidis,Endangered,2000
A0GG,Brachylagus idahoensis,Endangered,2001
D031,Rana sevosa,Endangered,2001
E098,Etheostoma chermocki,Endangered,2001
F00W,Leptodea leptodon,Endangered,2001
I0OW,Cicindela ohlone,Endangered,2001
I0RG,Pseudocopaeodes eunus obscurus,Endangered,2001
Q2ZA,Astragalus ampullarioides,Endangered,2001
Q2NC,Astragalus holmgreniorum,Endangered,2001
Q076,Astragalus pycnostachyus var. lanosissimus,Endangered,2001
Q1P9,Silene spaldingii,Threatened,2001
A0DV,Sorex ornatus relictus,Endangered,2002
D01T,Ambystoma californiense,Endangered,2002
D02F,Rana chiricahuensis,Threatened,2002
D02H,Rana muscosa,Endangered,2002
G04I,Antrobia culveri,Endangered,2002
Q01H,Ambrosia pumila,Endangered,2002
Q3HD,Carex lutea,Endangered,2002
Q0XA,Hackelia venusta,Endangered,2002
Q2CL,Limnanthes floccosa ssp. grandiflora,Endangered,2002
Q356,Lomatium cookii,Endangered,2002
Q3GI,Yermo xanthocephalus,Threatened,2002
Q2CL,Limnanthes pumila grandiflora,Endangered,2002
A002,Odocoileus virginianus leucurus,Recovery,2003
Q3HV,Polygonum hickmanii,Endangered,2003
A08K,Urocyon littoralis catalinae,Endangered,2004
A08I,Urocyon littoralis littoralis,Endangered,2004
A08L,Urocyon littoralis santacruzae,Endangered,2004
A08M,Urocyon littoralis santarosae,Endangered,2004
B065,Zosterops rotensis,Endangered,2004
D01T,Ambystoma californiense,Threatened,2004
Q3GY,Nesogenes rotensis,Endangered,2004
Q3GZ,Osmoxylon mariannense,Endangered,2004
A08K,Urocyon littoralis catalinae,Threatened,2004
A08I,Urocyon littoralis littoralis,Recovery,2004
A08L,Urocyon littoralis santacruzae,Recovery,2004
A08M,Urocyon littoralis santarosae,Recovery,2004
A0HK,Enhydra lutris kenyoni,Threatened,2005
E02P,Gila intermedia,Endangered,2005
E08A,Oncorhynchus (=Salmo) kisutch,Threatened,2005
E0A9,Pristis pectinata,Endangered,2005
G03K,Assiminea pecos,Endangered,2005
G0C8,Haliotis sorenseni,Endangered,2005
G04C,Juturnia kosteri,Endangered,2005
G03T,Pyrgulopsis roswellensis,Endangered,2005
I0QR,Cicindela nevadica lincolniana,Endangered,2005
K023,Gammarus desperatus,Endangered,2005
A0IL,Orcinus orca,Endangered,2006
E09K,Acipenser medirostris,Threatened,2006
I0QW,Drosophila aglaia,Endangered,2006
I0RE,Drosophila differens,Endangered,2006
I0RC,Drosophila hemipeza,Endangered,2006
I0QZ,Drosophila heteroneura,Endangered,2006
I0R0,Drosophila montgomeryi,Endangered,2006
I0R1,Drosophila mulli,Threatened,2006
I0R2,Drosophila musaphilia,Endangered,2006
I0R3,Drosophila neoclavisetae,Endangered,2006
I0R4,Drosophila obatai,Endangered,2006
I0RD,Drosophila ochrobasis,Endangered,2006
I0R5,Drosophila substenoptera,Endangered,2006
I0R6,Drosophila tarphytrichia,Endangered,2006
P000,Acropora cervicornis,Threatened,2006
P001,Acropora palmata,Threatened,2006
E08D,Oncorhynchus (=Salmo) mykiss,Threatened,2007
A0IJ,Ursus maritimus,Threatened,2008
B008,Haliaeetus leucocephalus,Resolved Taxon,2008
D042,Ambystoma bishopi,Endangered,2009
E07L,Salmo salar,Resolved Taxon,2009
E07L,Salmo salar,Endangered,2009
Q3H5,Phyllostegia hispida,Endangered,2009
Q3KI,Sclerocactus brevispinus,Threatened,2009
Q3N6,Sclerocactus wetlandicus,Threatened,2009
B0AF,Loxops caeruleirostris,Endangered,2010
B0AI,Oreomystis bairdi,Endangered,2010
E0BD,Scaphirhynchus platorynchus,Similarity of Appearance to a Threatened Taxon,2010
F03Z,Pleurobema hanleyianum,Endangered,2010
G0C2,Leptoxis foremani,Endangered,2010
G06V,Pleurocera foremani,Endangered,2010
I0QX,Drosophila sharpi,Endangered,2010
I05X,Megalagrion nesiotes,Endangered,2010
I064,Megalagrion pacificum,Endangered,2010
Q3GT,Astelia waialealae,Endangered,2010
Q1TY,Canavalia napaliensis,Endangered,2010
Q0EF,Charpentiera densiflora,Endangered,2010
Q3MS,Cyanea dolichopoda,Endangered,2010
Q3HA,Cyanea eleeleensis,Endangered,2010
Q3MT,Cyanea kolekoleensis,Endangered,2010
Q3H2,Cyanea kuhihewa,Endangered,2010
Q0KX,Cyrtandra oenobarba,Endangered,2010
Q3MU,Cyrtandra paliku,Endangered,2010
Q32N,Dubautia imbricata imbricata,Endangered,2010
Q3MV,Dubautia kalalauensis,Endangered,2010
Q3MW,Dubautia kenwoodii,Endangered,2010
Q3H3,Dubautia plantaginea magnifolia,Endangered,2010
Q0O6,Dubautia waialealae,Endangered,2010
Q3HH,Euphorbia eleanoriae,Endangered,2010
Q1UC,Euphorbia remyi var. kauaiensis,Endangered,2010
Q1UD,Euphorbia remyi var. remyi,Endangered,2010
Q33O,Geranium kauaiense,Endangered,2010
Q3HP,Keysseria (=Lagenifera) erici,Endangered,2010
Q3HQ,Keysseria (=Lagenifera) helenae,Endangered,2010
Q34Q,Labordia helleri,Endangered,2010
Q34R,Labordia pumila,Endangered,2010
Q35G,Lysimachia daphnoides,Endangered,2010
Q3MX,Lysimachia iniki,Endangered,2010
Q3MY,Lysimachia pendens,Endangered,2010
Q3MZ,Lysimachia scopulensis,Endangered,2010
Q3H4,Lysimachia venosa,Endangered,2010
Q1YX,Melicope degeneri,Endangered,2010
Q1Z9,Melicope paniculata,Endangered,2010
Q35Y,Melicope puberula,Endangered,2010
Q3N0,Myrsine knudsenii,Endangered,2010
Q2E5,Myrsine mezii,Endangered,2010
Q3N1,Phyllostegia renovans,Endangered,2010
Q37I,Pittosporum napaliense,Endangered,2010
Q37W,Platydesma rostrata,Endangered,2010
Q22G,Polyscias bisattenuata,Endangered,2010
Q3N2,Polyscias flynnii,Endangered,2010
Q38C,Pritchardia hardyi,Endangered,2010
Q1KB,Psychotria grandiflora,Endangered,2010
Q38F,Psychotria hobdyi,Endangered,2010
Q3H7,Schiedea attenuata,Endangered,2010
Q3H8,Stenogyne kealiae,Endangered,2010
S007,Asplenium dielmannii,Endangered,2010
S02H,Doryopteris angelica,Endangered,2010
S02I,Dryopteris crinalis var. podosorus,Endangered,2010
A0K5,Delphinapterus leucas,Endangered,2011
A0K4,Phoca largha,Threatened,2011
D032,Cryptobranchus alleganiensis bishopi,Endangered,2011
E0AR,Chrosomus saylori,Endangered,2011
E01E,Etheostoma moorei,Endangered,2011
E0AB,Etheostoma phytophilum,Endangered,2011
E05R,Etheostoma susanae,Endangered,2011
E07F,Noturus crypticus,Endangered,2011
E08A,Oncorhynchus (=Salmo) kisutch,Threatened,2011
E0BI,Sebastes paucispinis,Endangered,2011
E0BK,Sebastes pinniger,Threatened,2011
E0BM,Sebastes ruberrimus,Threatened,2011
E0BJ,Thaleichthys pacificus,Threatened,2011
F026,Elliptio spinosa,Endangered,2011
G0FU,Haliotis cracherodii,Endangered,2011
I0TG,Dinacoma caseyi,Endangered,2011
Q2U7,Ipomopsis polyantha,Endangered,2011
Q36W,Penstemon debilis,Threatened,2011
Q1G6,Phacelia submutica,Threatened,2011
A0KX,Pseudorca crassidens,Endangered,2012
D03V,Eleutherodactylus juanariveroi,Endangered,2012
E0A7,Acipenser oxyrinchus oxyrinchus,Resolved Taxon,2012
E0A7,Acipenser oxyrinchus oxyrinchus,Threatened,2012
E0A7,Acipenser oxyrinchus oxyrinchus,Endangered,2012
F00X,Cumberlandia monodonta,Endangered,2012
F03J,Epioblasma triquetra,Endangered,2012
F03W,Fusconaia burkei,Threatened,2012
F02T,Fusconaia escambia,Threatened,2012
F02G,Fusconaia rotulata,Endangered,2012
F030,Hamiota australis,Threatened,2012
F01W,Margaritifera marrianae,Endangered,2012
F046,Plethobasus cyphyus,Endangered,2012
F03V,Pleurobema strodeanum,Threatened,2012
F02N,Ptychobranchus jonesi,Endangered,2012
F01B,Villosa choctawensis,Endangered,2012
F01A,Villosa fabalis,Endangered,2012
G05E,Pyrgulopsis bernardina,Threatened,2012
G03S,Pyrgulopsis chupaderae,Endangered,2012
G051,Pyrgulopsis trivialis,Endangered,2012
I0W6,Cyclargus ammon,Similarity of Appearance to a Threatened Taxon,2012
I02Q,Cyclargus (=Hemiargus) thomasi bethunebakeri,Endangered,2012
I0W5,Hemiargus ceraunus antibubastus,Similarity of Appearance to a Threatened Taxon,2012
I0W4,Leptotes cassius theonus,Similarity of Appearance to a Threatened Taxon,2012
I05V,Megalagrion leptodemas,Endangered,2012
I05U,Megalagrion nigrohamatum nigrolineatum,Endangered,2012
I062,Megalagrion oceanicum,Endangered,2012
Q25C,Arctostaphylos franciscana,Endangered,2012
Q3HE,Bidens amplectens,Endangered,2012
Q1LP,Cyanea calycina,Endangered,2012
Q0IP,Cyanea lanceolata,Endangered,2012
Q1LR,Cyanea purpurellifolia,Endangered,2012
Q28D,Cyrtandra gracilis,Endangered,2012
Q0KJ,Cyrtandra kaulantha,Endangered,2012
Q32B,Cyrtandra sessilis,Endangered,2012
Q0LK,Cyrtandra waiolani,Endangered,2012
Q34P,Korthalsella degeneri,Endangered,2012
Q1YV,Melicope christophersenii,Endangered,2012
Q2DJ,Melicope hiiakae,Endangered,2012
Q1Z2,Melicope makahae,Endangered,2012
Q37U,Platydesma cornuta cornuta,Endangered,2012
Q37V,Platydesma cornuta decurrens,Endangered,2012
Q2GJ,Pleomele forbesii,Endangered,2012
Q22R,Polyscias lydgatei,Endangered,2012
Q3H6,Psychotria hexandra ssp. oahuensis,Endangered,2012
Q1KE,Pteralyxia macrocarpa,Endangered,2012
Q3H9,Zanthoxylum oahuense,Endangered,2012
S028,Doryopteris takeuchii,Endangered,2012
A0KM,Erignathus barbatus nauticus,Resolved Taxon,2013
A0KM,Erignathus barbatus nauticus,Threatened,2013
A0JB,Eumops floridanus,Endangered,2013
A0KL,Phoca (=Pusa) hispida botnica,Threatened,2013
A0KJ,Phoca (=Pusa) hispida hispida,Threatened,2013
A0KI,Phoca (=Pusa) hispida ladogensis,Endangered,2013
A0KK,Phoca (=Pusa) hispida ochotensis,Threatened,2013
B0B3,Eremophila alpestris strigata,Threatened,2013
D02T,Eurycea tonkawae,Threatened,2013
D033,Eurycea waterlooensis,Endangered,2013
D019,Plethodon neomexicanus,Endangered,2013
E0AC,Cottus specus,Endangered,2013
E014,Crystallaria cincotta,Endangered,2013
E05B,Elassoma alabamae,Threatened,2013
F00F,Lampsilis rafinesqueana,Endangered,2013
F01Y,Pleuronaia dolabelloides,Endangered,2013
F041,Ptychobranchus subtentum,Endangered,2013
F03X,Quadrula cylindrica cylindrica,Threatened,2013
G09U,Newcombia cumingi,Endangered,2013
G0AG,Partulina semicarinata,Endangered,2013
G0AH,Partulina variabilis,Endangered,2013
G04W,Pseudotryonia adamantina,Endangered,2013
G00X,Pyrgulopsis texana,Endangered,2013
G013,Tryonia cheatumi,Endangered,2013
G05D,Tryonia circumstriata (=stocktonensis),Endangered,2013
I0QY,Drosophila digressa,Endangered,2013
I0T6,Euphydryas editha taylori,Endangered,2013
I0TX,Icaricia (Plebejus) shasta charlestonensis,Endangered,2013
K020,Gammarus hyalleloides,Endangered,2013
K024,Gammarus pecos,Endangered,2013
K03C,Vetericaris chaceorum,Endangered,2013
Q2S3,Bidens campylotheca pentamera,Endangered,2013
Q269,Bidens campylotheca waihoiensis,Endangered,2013
Q08M,Bidens conjuncta,Endangered,2013
Q3OA,Bidens hillebrandiana ssp. hillebrandiana,Endangered,2013
Q2XY,Bidens micrantha ctenophylla,Endangered,2013
Q3HF,Calamagrostis hillebrandii,Endangered,2013
Q0BB,Canavalia pubescens,Endangered,2013
Q3HJ,Chromolaena frustrata,Endangered,2013
Q3HT,Consolea corallicola,Endangered,2013
Q1V0,Cyanea asplenifolia,Endangered,2013
Q3NS,Cyanea duvalliorum,Endangered,2013
Q3NT,Cyanea horrida,Endangered,2013
Q0IO,Cyanea kunthiana,Endangered,2013
Q3NU,Cyanea magnicalyx,Endangered,2013
Q3NV,Cyanea maritae,Endangered,2013
Q0IS,Cyanea marksii,Endangered,2013
Q3NW,Cyanea mauiensis,Endangered,2013
Q3NX,Cyanea munroi,Endangered,2013
Q31Q,Cyanea obtusa,Endangered,2013
Q31T,Cyanea profuga,Endangered,2013
Q0IV,Cyanea solanacea,Endangered,2013
Q0IX,Cyanea tritomantha,Endangered,2013
Q3NY,Cyrtandra ferripilosa,Endangered,2013
Q2SY,Cyrtandra filipes,Endangered,2013
Q3OB,Cyrtandra nanawaleensis,Endangered,2013
Q32A,Cyrtandra oxybapha,Endangered,2013
Q3OC,Cyrtandra wagneri,Endangered,2013
Q0OU,Echinomastus erectocentrus var. acunensis,Endangered,2013
Q3HN,Eriogonum codium,Threatened,2013
Q3O5,Festuca molokaiensis,Endangered,2013
Q3HM,Geranium hanaense,Endangered,2013
Q3DB,Geranium hillebrandii,Endangered,2013
Q0DR,Harrisia (=Cereus) aboriginum (=gracilis),Endangered,2013
Q0ZH,Hibiscus dasycalyx,Threatened,2013
Q34U,Leavenworthia texana,Endangered,2013
Q3NZ,Mucuna sloanei persericea,Endangered,2013
Q36E,Myrsine vaccinioides,Endangered,2013
Q1C9,Pediocactus peeblesianus fickeiseniae,Endangered,2013
Q201,Peperomia subpetiolata,Endangered,2013
Q37F,Phyllostegia bracteata,Endangered,2013
Q1GZ,Phyllostegia floribunda,Endangered,2013
Q3O0,Phyllostegia haliakalae,Endangered,2013
Q3O1,Phyllostegia pilosa,Endangered,2013
Q3HR,Physaria douglasii ssp. tuplashensis,Threatened,2013
Q2G8,Pittosporum halophilum,Endangered,2013
Q2G9,Pittosporum hawaiiense,Endangered,2013
Q1I5,Platydesma remyi,Endangered,2013
Q3HU,Pleomele fernaldii,Endangered,2013
Q1JR,Pritchardia lanigera,Endangered,2013
Q3OE,Schiedea diffusa ssp. macraei,Endangered,2013
Q1MU,Schiedea hawaiiensis,Endangered,2013
Q3O2,Schiedea jacobii,Endangered,2013
Q3O3,Schiedea laui,Endangered,2013
Q21G,Schiedea salicaria,Endangered,2013
Q3LJ,Sphaeralcea gierischii,Endangered,2013
Q39M,Stenogyne cranwelliae,Endangered,2013
Q3O4,Stenogyne kauaulaensis,Endangered,2013
Q244,Wikstroemia villosa,Endangered,2013
A0CP,Thomomys mazama glacialis,Threatened,2014
A0IE,Thomomys mazama pugetensis,Threatened,2014
A0IF,Thomomys mazama tumuli,Threatened,2014
A0IG,Thomomys mazama yelmensis,Threatened,2014
A0BX,Zapus hudsonius luteus,Endangered,2014
B0B0,Centrocercus minimus,Threatened,2014
B06R,Coccyzus americanus,Threatened,2014
B0AZ,Tympanuchus pallidicinctus,Threatened,2014
C04Q,Thamnophis eques megalops,Threatened,2014
C051,Thamnophis rufipunctatus,Threatened,2014
D02K,Anaxyrus canorus,Threatened,2014
D02X,Eurycea chisholmensis,Threatened,2014
D02S,Eurycea naufragia,Threatened,2014
D02H,Rana muscosa,Endangered,2014
D02H,Rana muscosa,Resolved Taxon,2014
D02A,Rana pretiosa,Threatened,2014
D04M,Rana sierrae,Endangered,2014
E0D5,Acipenser mikadoi,Endangered,2014
E0CH,Acipenser naccarii,Endangered,2014
E0CI,Acipenser sinensis,Endangered,2014
E0CJ,Acipenser sturio,Endangered,2014
E063,Catostomus discobolus yarrowi,Endangered,2014
E0CK,Huso dauricus,Endangered,2014
E05Z,Notropis buccula,Endangered,2014
E04K,Notropis oxyrhynchus,Endangered,2014
E0CG,Pristis pristis,Endangered,2014
E0CL,Sphyrna lewini,Endangered,2014
E0CL,Sphyrna lewini,Threatened,2014
I087,Anaea troglodyta floridalis,Endangered,2014
I011,Hesperia dacotae,Threatened,2014
I0W1,Oarisma poweshiek,Endangered,2014
I07G,Strymon acis bartrami,Endangered,2014
P00O,Acropora globiceps,Threatened,2014
P00B,Acropora jacquelinae,Threatened,2014
P00C,Acropora lokani,Threatened,2014
P00U,Acropora pharaonis,Threatened,2014
P00W,Acropora retusa,Threatened,2014
P00D,Acropora rudis,Threatened,2014
P00X,Acropora speciosa,Threatened,2014
P00Z,Acropora tenella,Threatened,2014
P00E,Anacropora spinosa,Threatened,2014
P002,Dendrogyra cylindricus,Threatened,2014
P00F,Euphyllia paradivisa,Threatened,2014
P01X,Isopora crateriformis,Threatened,2014
P017,Montipora australiensis,Threatened,2014
P006,Mycetophyllia ferox,Threatened,2014
P003,Orbicella annularis,Threatened,2014
P004,Orbicella faveolata,Threatened,2014
P01Y,Orbicella franksi,Threatened,2014
P01Q,Pavona diffluens,Threatened,2014
P01H,Porites napopora,Threatened,2014
P00I,Seriatopora aculeata,Threatened,2014
Q00O,Agave eggersiana,Endangered,2014
Q02R,Arabis georgiana,Threatened,2014
Q09E,Brickellia mosieri,Endangered,2014
Q3NC,Diplacus vandenbergensis,Endangered,2014
Q2TV,Gonocalyx concolor,Endangered,2014
Q3HO,Helianthus verticillatus,Endangered,2014
Q34J,Ivesia webberi,Threatened,2014
Q12K,Leavenworthia crassa,Endangered,2014
Q12F,Leavenworthia exigua laciniata,Threatened,2014
Q14I,Linum carteri carteri,Endangered,2014
Q139,Physaria globosa,Endangered,2014
Q0GP,Varronia rupicola,Threatened,2014
B0AZ,Tympanuchus pallidicinctus,Under Review in the Candidate or Petition Process,2014
P002,Dendrogyra cylindrus,Threatened,2014
A0I9,Emballonura semicaudata rotensis,Endangered,2015
A0JE,Myotis septentrionalis,Threatened,2015
B0DM,Calidris canutus rufa,Threatened,2015
C07T,Emoia slevini,Endangered,2015
C029,Pituophis melanoleucus lodingi,Threatened,2015
E0D1,Anoxypristis cuspidata,Endangered,2015
E0D2,Pristis clavata,Endangered,2015
E0A9,Pristis pectinata,Endangered,2015
E0D3,Pristis zijsron,Endangered,2015
G0AC,Partula gibba,Endangered,2015
G0AI,Partula langfordi,Endangered,2015
G0A8,Partula radiolata,Endangered,2015
G0A7,Samoana fragilis,Endangered,2015
I0R7,Hypolimnas octocula mariannensis,Endangered,2015
I0U8,Ischnura luta,Endangered,2015
I0R8,Vagrans egistina,Endangered,2015
Q3OU,Bulbophyllum guamense,Threatened,2015
Q3OV,Dendrobium guamense,Threatened,2015
Q3OW,Eugenia bryanii,Endangered,2015
Q3OX,Hedyotis megalantha,Endangered,2015
Q2PA,Heritiera longipetiolata,Endangered,2015
Q3OY,Maesa walkeri,Threatened,2015
Q3P2,Nervilia jacksoniae,Threatened,2015
Q3OZ,Phyllanthus saffordii,Endangered,2015
Q3P0,Psychotria malaspinae,Endangered,2015
Q3P1,Solanum guamense,Endangered,2015
Q3H0,Tabernaemontana rotensis,Threatened,2015
Q3SH,Tinospora homosepala,Endangered,2015
Q3P3,Tuberolabium guamense,Threatened,2015
R00P,Cycas micronesica,Threatened,2015
S02G,Trichomanes punctatum ssp. floridanum,Endangered,2015
C081,Aipysurus fuscus,Endangered,2015
I0R7,Hypolimnas octocula marianensis,Endangered,2015
P020,Cantharellus noumeae,Endangered,2015
P021,Siderastrea glynni,Endangered,2015
P022,Tubastraea floreana,Endangered,2015
A0FO,Emballonura semicaudata semicaudata,Endangered,2016
B0AJ,Gallicolumba stairi,Endangered,2016
B0L8,Gymnomyza samoensis,Endangered,2016
B08V,Oceanodroma castro,Endangered,2016
B07V,Setophaga angelae,Threatened,2016
C00S,Chelonia mydas,Threatened,2016
C00S,Chelonia mydas,Endangered,2016
C03P,Sistrurus catenatus,Threatened,2016
E0BF,Etheostoma spilotum,Threatened,2016
E0D9,Latimeria chalumnae,Threatened,2016
F03T,Medionidus walkeri,Threatened,2016
G0BJ,Eua zebrina,Endangered,2016
G0A5,Ostodes strigatus,Endangered,2016
I0XA,Cicindelidia floridana,Endangered,2016
I0GP,Hylaeus anthracinus,Endangered,2016
I0GQ,Hylaeus assimulans,Endangered,2016
I0GY,Hylaeus facilis,Endangered,2016
I0HT,Hylaeus hilaris,Endangered,2016
I0VM,Hylaeus kuakea,Endangered,2016
I0HC,Hylaeus longiceps,Endangered,2016
I0VL,Hylaeus mana,Endangered,2016
I063,Megalagrion xanthomelas,Endangered,2016
K03K,Cambarus callainus,Threatened,2016
K08X,Cambarus veteranus,Endangered,2016
K03B,Procaris hawaiana,Endangered,2016
Q045,Argythamnia blodgettii,Threatened,2016
Q306,Calamagrostis expansa,Endangered,2016
Q0E3,Chamaecrista lineata keyensis,Endangered,2016
Q0E7,Chamaesyce deltoidea serpyllum,Endangered,2016
Q3OI,Cyanea kauaulaensis,Endangered,2016
Q35S,Cyperus neokunthianus,Endangered,2016
Q323,Cyrtandra hematos,Endangered,2016
Q3OJ,Exocarpos menziesii,Endangered,2016
Q33I,Festuca hawaiiensis,Endangered,2016
Q33N,Gardenia remyi,Endangered,2016
Q1XN,Joinvillea ascendens ascendens,Endangered,2016
Q3OR,Kadua haupuensis,Endangered,2016
Q2U1,Kadua (=Hedyotis) fluviatilis,Endangered,2016
Q3OT,Labordia lorenciana,Endangered,2016
Q3OM,Lepidium orbiculare,Endangered,2016
Q34X,Lepidium papilliferum,Threatened,2016
Q14H,Linum arenicola,Endangered,2016
Q3HS,Myrsine fosbergii,Endangered,2016
Q19R,Nothocestrum latifolium,Endangered,2016
Q3ES,Ochrosia haleakalae,Endangered,2016
Q2VD,Phyllostegia brevidens,Endangered,2016
Q2FX,Phyllostegia helleri,Endangered,2016
Q2FV,Phyllostegia stachyoides,Endangered,2016
Q2GF,Platanthera integrilabia,Threatened,2016
Q381,Portulaca villosa,Endangered,2016
Q3ON,Pritchardia bakeri,Endangered,2016
Q1WN,Pseudognaphalium (=Gnaphalium) sandwicensium var. molokaiense,Endangered,2016
Q38H,Ranunculus hawaiensis,Endangered,2016
Q2VQ,Ranunculus mauiensis,Endangered,2016
Q2HW,Sanicula sandwicensis,Endangered,2016
Q3OO,Santalum involutum,Endangered,2016
Q3OS,Schiedea diffusa subsp. diffusa,Endangered,2016
Q2VZ,Schiedea pubescens,Endangered,2016
Q3OQ,Sicyos lanceoloideus,Endangered,2016
Q396,Sicyos macrophyllus,Endangered,2016
Q21R,Solanum nelsonii,Endangered,2016
Q1QY,Stenogyne kaalae ssp. sherffii,Endangered,2016
Q243,Wikstroemia skottsbergiana,Endangered,2016
S02K,Asplenium diellaciniatum,Endangered,2016
S02E,Cyclosorus boydiae,Endangered,2016
S02L,Deparia kaalaana,Endangered,2016
S029,Dryopteris glabra var. pusilla,Endangered,2016
S02B,Huperzia (=Phlegmariurus) stemmermanniae,Endangered,2016
S02Q,Hypolepis hawaiiensis var. mauiensis,Endangered,2016
S02A,Microlepia strigosa var. mauiensis,Endangered,2016
A0LD,Cephalorhynchus hectori hectori,Threatened,2017
A0LC,Cephalorhynchus hectori maui,Endangered,2017
B0GU,Drepanis coccinea,Threatened,2017
C067,Kinosternon sonoriense longifemorale,Endangered,2017
E07A,Percina aurora,Threatened,2017
I0WI,Bombus affinis,Endangered,2017
Q3HI,Chamaesyce deltoidea pinetorum,Threatened,2017
Q3HL,Dalea carthagenensis floridana,Endangered,2017
Q1VG,Digitaria pauciflora,Threatened,2017
Q0UM,Festuca ligulata,Endangered,2017
Q3IM,Sideroxylon reclinatum ssp. austrofloridense,Threatened,2017
C02C,Pituophis ruthveni,Threatened,2018
D030,Necturus alabamensis,Endangered,2018
F03I,Elliptio lanceolata,Threatened,2018
F02M,Popenaias popeii,Endangered,2018
